name,num,sd,st,ed,et,req,su
PEX KILO/HS R1,T210329-0137,600,20210409,20210413,1600,M,III MEF 31ST MEU BLT MT
"RETROGRADE FROM JWTC TO CAMP HANSEN""",T210318-0304,700,20210410,20210410,1800,M,
III MEF DIV UMCCGME VAN MAIN BODY RETURN,T210222-0004,1100,20210302,20210402,1100,apples,MCIPAC-MCB CAMP BUTLER JA-MTB
DEMO R2 ENGINEERS,T210317-0003,500,20210408,20210408,2300,oranges,III MEF 31ST MEU BLT MT
R10 LIMA AMMO PRESTAGE/D/O,T210329-0132,600,20210409,20210412,1200,grapes,III MEF 31ST MEU BLT MT
ROM SUPPORT VIC,T210409-0025,1100,20210409,20210416,800,pizza,III MEF 31ST MEU BLT MT
LIMA RANGE 10 TRAINING,T210319-0044,1200,20210411,20210413,1700,hamburger,III MEF 31ST MEU BLT MT
FD2030 BN WATERBOWL,T210324-0020,500,20210412,20210412,600,hotdog,III MEF 31ST MEU CLB-31 MT
FD2030 BN PAX TRANS LZ OSPREY D/O,T210324-0042,600,20210412,20210412,1000,tomato,III MEF 31ST MEU CLB-31 MT
FD2030 BN PAX TRANS LZ COOT D/O,T210324-0044,700,20210412,20210412,1100,watermelon,III MEF 31ST MEU CLB-31 MT
RIFLE RANGE LIMA JLTV,T210319-0046,800,20210412,20210423,2000,rectangle,III MEF 31ST MEU BLT MT
FD2030 BN INTERNAL,T210329-0102,900,20210412,20210416,1800,circle,III MEF 31ST MEU BLT MT
PEX LIMA WB,T210407-0037,1100,20210412,20210418,1000,square,III MEF 31ST MEU CLB-31 MT
AMAL TRANSPORT TO KINSER,T210324-0025,500,20210413,20210413,1300,QWERTY,III MEF 31ST MEU CLB-31 MT
LIMA RIFLE RANGE AMMO PRESTAGE D/O RANGE 18,T210408-0006,600,20210413,20210416,1700,ABCDEFG,III MEF 31ST MEU BLT MT
LIMA RANGE 10 AMMO P/U,T210331-0066,2000,20210413,20210415,1600,QUESTS,III MEF 31ST MEU BLT MT
AMMO PRESTAGE D/O RANGE 3,T210408-0012,600,20210415,20210416,1600,PEOPLE,III MEF 31ST MEU BLT MT
BN GAS CHAMBER PRESTAGE D/0,T210408-0018,600,20210415,20210416,1200,LIBRARY,III MEF 31ST MEU BLT MT
BN GAS CHAMBER,T210317-0070,1000,20210415,20210416,1600,HOTELS,III MEF 31ST MEU BLT MT
81s 2030 Movement,T210407-0033,800,20210416,20210418,1700,GOLFING,III MEF 31ST MEU BLT MT
FD 2030 LZ DODO RETROGRADE,T210329-0096,1200,20210416,20210416,1500,BAGGED,III MEF 31ST MEU CLB-31 MT
KILO PEX RETROGRADE,T210407-0038,1200,20210418,20210418,1400,JEWELRY,III MEF 31ST MEU CLB-31 MT
BN WATER SURVIVAL,T210331-0030,700,20210419,20210419,1800,MILKSHAKE,III MEF 31ST MEU BLT MT
KILO MAI CRSE SAFETY VEHICLES,T210412-0007,800,20210419,20210503,800,COOKIES,III MEF 31ST MEU BLT MT
BN WATER SURVIVAL,T210331-0032,700,20210423,20210423,1800,ICE CREAM,III MEF 31ST MEU BLT MT
JUNGLE MED RETROGRADE,T210331-0080,1100,20210424,20210424,1500,BROWNIES,III MEF 31ST MEU BLT MT
BN WATER SURVIVAL,T210331-0034,700,20210426,20210426,1800,CUPCAKES,III MEF 31ST MEU BLT MT
MONKEYS,T210375-0011,20210412,700,20210417,1200,JLTV,MEU UMCC
33 PAX BUS REQUEST,T201228-0092,800,20210104,20210115,800,MNBVC,MCIPAC-MCB CAMP BUTLER JA-MTB
PEX KILO,T210317-0064,900,20210411,20210419,1200,lkjhg,III MEF 31ST MEU BLT MT
FD2030 BN WATERBOWL,T210324-0021,1800,20210416,20210416,2000,poiuy,III MEF 31ST MEU UMCC
COVID RESPONSE VAN,T201214-0109,900,20201217,20210117,900,APPLES,MCIPAC-MCB CAMP BUTLER JA-MTB
GME VAN,T201216-0128,800,20201231,20210117,1800,BANANAS,MCIPAC-MCB CAMP BUTLER JA-MTB
H*S R1/R18,T210317-0062,500,20210412,20210412,2355,COOKIES,III MEF 31ST MEU BLT MT
AMMO PRESTAGE D/O LIMA RIFLE RANGE,T210408-0015,600,20210416,20210419,1800,DECIMALS,III MEF 31ST MEU BLT MT
KILO PEX AMMO P/U,T210331-0070,1100,20210418,20210419,1600,ELEPHANTS,III MEF 31ST MEU BLT MT
FD2030 BN PAX TRANS LZ COOT D/O,T210324-0044,700,20210412,20210412,1100,watermelon,III MEF 31ST MEU CLB-31 MT
