name,num,sd,st,ed,et,req,su
CWL COURSE BUS TRANSPO,T220112-00295,700,20220130,20220130,1500,,I MEF_TMO PAX_29 PALMS
MTX ADVON,T220210-00359,900,20220329,20220329,1630,,I MEF_TMO PAX_PENDLETON
BRIDGEPORT QUADCON MHE,T220317-00183,1700,20220329,20220329,2000,,TECOM_MWTC_HE
MTX MAINBODY WAVE ONE,T220218-00188,700,20220403,20220403,1630,,I MEF_TMO PAX_29 PALMS
MTX MAINBODY WAVE TWO,T220218-00221,1000,20220403,20220403,1630,,I MEF_TMO PAX_29 PALMS
BRIDGEPORT QUADCON MHE,T220321-00379,1600,20220403,20220403,2000,,TECOM_MWTC_HE
BRIDGEPORT QUADCON RETRO,T220329-00229,1600,20220421,20220421,1700,,I MEF_7TH MARREG_MT
BRIG RUN VAN,T220426-00202,930,20220426,20220426,1600,,I MEF_7TH MARREG_S4
UTV'S (3) ISO MWX 3-22,T220427-00324,1500,20220427,20220508,1600,,I MEF_7TH MARREG_MT
MWX 3-22 ENGINEERS BARRACKS MOVE,T220416-00024,1000,20220428,20220428,1200,,I MEF_7TH MARREG_S4
CPEN GEAR TURN IN,T220428-00191,830,20220509,20220510,1630,,I MEF_3RD BN 11 MAR_HQ_MT
SERV MART GEAR STAKEBED,T220509-00402,800,20220511,20220511,1100,,I MEF_7TH MARREG_S4
PHL RETRO VICS,T220510-00443,800,20220511,20220511,2000,,I MEF_1ST MAR DIV_(UMCC)
AFX 3-22 FASP VAN,T220510-00382,800,20220511,20220517,1630,,I MEF_7TH MARREG_S4
FIELD MESS EQUIP MHE,T220506-00269,900,20220511,20220511,1650,,I MEF_CLB-7_HE
FIELD MESS EQUIP TRANSPO,T220506-00267,900,20220511,20220511,1650,,I MEF_7TH MARREG_MT
VAN JTLI SUPPORT,T220511-00369,830,20220512,20220513,1600,,I MEF_7TH MARREG_S4
ENGINEER ASSET LOAD,T220506-00194,900,20220512,20220512,1000,,I MEF_3RD BN 4TH MAR_MT
AFX WATERBOWL ECR,T220510-00314,900,20220512,20220524,1000,,I MEF_7TH MARREG_MT
MWX 3-22 ENGINEER ASSET RETRO,T220413-00224,900,20220512,20220512,1400,,I MEF_DMOFRT_ 29 PALMS
