,This File is UNCLASSIFIED//For Official Use Only.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
0,Priority,TMR #,Pickup Location,Pickup Time,Delivery Location,Delivery Time,Originating Unit,Forwarding Unit,Supporting Unit,Tag,Status
1,ROUTINE,T220112-00295,UMA LOT BLDG 1406 DEL VALLE DR TWENTYNINE PALMS CA 92277,"01-30-2022 07:00 (L) / 
01-30-2022 15:00 (Z)","BLDG 7045 SEQUOIA ST BRIDGEPORT, CA 93517","01-30-2022 15:00 (L) / 
01-30-2022 23:00 (Z)",I MEF_3RD BN 4TH MAR_S4,I MEF_(MMCC)_SURFACE/RAIL,I MEF_TMO PAX_29 PALMS,CWL COURSE BUS TRANSPO,Processing (EM)
2,ROUTINE,T220210-00359,UMA LOT BLDG 1406 DEL VALLE DR TWENTYNINE PALMS CA 92277,"03-29-2022 09:00 (L) / 
03-29-2022 16:00 (Z)","BLDG 7045 SEQUOIA ST BRIDGEPORT, CA 93517","03-29-2022 16:30 (L) / 
03-29-2022 23:30 (Z)",I MEF_3RD BN 4TH MAR_S4,I MEF_(MMCC)_SURFACE/RAIL,I MEF_TMO PAX_PENDLETON,MTX ADVON,Reviewed
3,ROUTINE,T220317-00183,"BLDG 7045 SEQUOIA ST BRIDGEPORT, CA 93517","03-29-2022 17:00 (L) / 
03-30-2022 00:00 (Z)","BLDG 7045 SEQUOIA ST BRIDGEPORT, CA 93517","03-29-2022 20:00 (L) / 
03-30-2022 03:00 (Z)",I MEF_3RD BN 4TH MAR_S4,I MEF_(MMCC)_SURFACE/RAIL,TECOM_MWTC_HE,BRIDGEPORT QUADCON MHE,Submitted
4,ROUTINE,T220218-00188,UMA LOT BLDG 1406 DEL VALLE DR TWENTYNINE PALMS CA 92277,"04-03-2022 07:00 (L) / 
04-03-2022 14:00 (Z)","BLDG 7045 SEQUOIA ST BRIDGEPORT, CA 93517","04-03-2022 16:30 (L) / 
04-03-2022 23:30 (Z)",I MEF_3RD BN 4TH MAR_S4,I MEF_(MMCC)_SURFACE/RAIL,I MEF_TMO PAX_29 PALMS,MTX MAINBODY WAVE ONE,Processing (EM)
5,ROUTINE,T220218-00221,UMA LOT BLDG 1406 DEL VALLE DR TWENTYNINE PALMS CA 92277,"04-03-2022 10:00 (L) / 
04-03-2022 17:00 (Z)","BLDG 7045 SEQUOIA ST BRIDGEPORT, CA 93517","04-03-2022 16:30 (L) / 
04-03-2022 23:30 (Z)",I MEF_3RD BN 4TH MAR_S4,I MEF_(MMCC)_SURFACE/RAIL,I MEF_TMO PAX_29 PALMS,MTX MAINBODY WAVE TWO,Processing (EM)
6,ROUTINE,T220321-00379,"BLDG 7045 SEQUOIA ST BRIDGEPORT, CA 93517","04-03-2022 16:00 (L) / 
04-03-2022 23:00 (Z)","BLDG 7045 SEQUOIA ST BRIDGEPORT, CA 93517","04-03-2022 20:00 (L) / 
04-04-2022 03:00 (Z)",I MEF_3RD BN 4TH MAR_S4,I MEF_(MMCC)_SURFACE/RAIL,TECOM_MWTC_HE,BRIDGEPORT QUADCON MHE,Submitted
7,ROUTINE,T220317-00192,"BLDG 7045 SEQUOIA ST BRIDGEPORT, CA 93517","04-21-2022 07:00 (L) / 
04-21-2022 14:00 (Z)","BLDG 7045 SEQUOIA ST BRIDGEPORT, CA 93517","04-21-2022 11:00 (L) / 
04-21-2022 18:00 (Z)",I MEF_3RD BN 4TH MAR_S4,I MEF_(MMCC)_SURFACE/RAIL,TECOM_MWTC_HE,BRIDGEPORT QUADCON MHE RETRO,Submitted
8,ROUTINE,T220329-00229,CONCRETE UMA LOT,"04-21-2022 16:00 (L) / 
04-21-2022 23:00 (Z)",BLDG 1317,"04-21-2022 17:00 (L) / 
04-22-2022 00:00 (Z)",I MEF_3RD BN 4TH MAR_S4,I MEF_7TH MARREG_S4,I MEF_7TH MARREG_MT,BRIDGEPORT QUADCON RETRO,Reviewed
9,ROUTINE,T220416-00022,BASE FOODS BUILDING 1102,"04-25-2022 09:00 (L) / 
04-25-2022 16:00 (Z)",BUILDING 1317,"04-25-2022 12:00 (L) / 
04-25-2022 19:00 (Z)",I MEF_3RD BN 4TH MAR_S4,I MEF_7TH MARREG_S4,I MEF_7TH MARREG_MT,MRE PICKUP TRANSPO 25th,Reviewed
10,ROUTINE,T220426-00202,REGIMENT CP,"04-26-2022 09:30 (L) / 
04-26-2022 16:30 (Z)",V34 Bn Cp Bldg 1448,"04-26-2022 16:00 (L) / 
04-26-2022 23:00 (Z)",I MEF_3RD BN 4TH MAR_S4,I MEF_3RD BN 4TH MAR_S4,I MEF_7TH MARREG_S4,BRIG RUN VAN,Processing (EM)
11,ROUTINE,T220427-00324,REGIMENT MP,"04-27-2022 15:00 (L) / 
04-27-2022 22:00 (Z)",V34 BN MP,"05-08-2022 16:00 (L) / 
05-08-2022 23:00 (Z)",I MEF_3RD BN 4TH MAR_S4,I MEF_7TH MARREG_S4,I MEF_7TH MARREG_MT,UTV'S (3) ISO MWX 3-22,Reviewed
12,ROUTINE,T220416-00024,CAMP WILSON BLDG 5400,"04-28-2022 10:00 (L) / 
04-28-2022 17:00 (Z)",BARRACKS 1443,"04-28-2022 12:00 (L) / 
04-28-2022 19:00 (Z)",I MEF_3RD BN 4TH MAR_S4,I MEF_3RD BN 4TH MAR_S4,I MEF_7TH MARREG_S4,MWX 3-22 ENGINEERS BARRACKS MOVE,Processing (EM)
13,ROUTINE,T220428-00191,3/11 MP,"05-09-2022 08:30 (L) / 
05-09-2022 15:30 (Z)",3/11 MP,"05-10-2022 16:30 (L) / 
05-10-2022 23:30 (Z)",I MEF_3RD BN 4TH MAR_S4,I MEF_3RD BN 11MAR_S4,I MEF_3RD BN 11 MAR_HQ_MT,CPEN GEAR TURN IN,Forward-Declined
14,ROUTINE,T220509-00402,SERV MART,"05-11-2022 08:00 (L) / 
05-11-2022 15:00 (Z)",V34 CP,"05-11-2022 11:00 (L) / 
05-11-2022 18:00 (Z)",I MEF_3RD BN 4TH MAR_S4,I MEF_3RD BN 4TH MAR_S4,I MEF_7TH MARREG_S4,SERV MART GEAR STAKEBED,Reviewed
15,ROUTINE,T220510-00443,1ST MARDIV CP,"05-11-2022 08:00 (L) / 
05-11-2022 15:00 (Z)",29 PALMS MCAGCC,"05-11-2022 20:00 (L) / 
05-12-2022 03:00 (Z)",I MEF_3RD BN 4TH MAR_S4,I MEF_7TH MARREG_S4,I MEF_1ST MAR DIV_(UMCC),PHL RETRO VICS,Processing (EM)
16,ROUTINE,T220510-00382,REG CP,"05-11-2022 08:00 (L) / 
05-11-2022 15:00 (Z)",FASP,"05-17-2022 16:30 (L) / 
05-17-2022 23:30 (Z)",I MEF_3RD BN 4TH MAR_S4,I MEF_3RD BN 4TH MAR_S4,I MEF_7TH MARREG_S4,AFX 3-22 FASP VAN,Reviewed
